,Name,author,price,rate,image
38,Magic of the Lost Temple (Over 2 Lakh Copies sold),Sudha Murty,₹195.00,"10,537","https://images-eu.ssl-images-amazon.com/images/I/81Y4Pte2a-L._AC_UL900_SR900,600_.jpg"
39,"The Palace of Illusions: 10th Anniversary Edition [Paperback] Banerjee Divakaruni, Chitra",Chitra Banerjee Divakaruni,₹319.00,"10,742","https://images-eu.ssl-images-amazon.com/images/I/A1dtQ-soQEL._AC_UL900_SR900,600_.jpg"
40,Educart CBSE Science Class 10 Sample Papers 2024-25 (With exclusive CBSE Mock Booklets for 2025 Exam),Prashant Kirad,₹359.00,128,"https://images-eu.ssl-images-amazon.com/images/I/81WrkElcMXL._AC_UL900_SR900,600_.jpg"
41,"The Art of Letting Go: Move Beyond the Hurt, Find Emotional Freedom and Restore Your Inner Peace",Nick Trenton,₹159.00,54,"https://images-eu.ssl-images-amazon.com/images/I/71pEaSYkhsL._AC_UL900_SR900,600_.jpg"
42,Coloring Books Box Set: Pack of 12 Copy Color Books For Children,Wonder House Books,₹369.00,"5,424","https://images-eu.ssl-images-amazon.com/images/I/81ZiMSpnmDL._AC_UL900_SR900,600_.jpg"
43,"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and coloring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",Maple Press,₹195.00,"4,484","https://images-eu.ssl-images-amazon.com/images/I/91Q7RLpqdKL._AC_UL900_SR900,600_.jpg"
44,"1'o Clock Revision book for Science, Maths and Social Science for Class 10th CBSE 2025 (Set of 2) | AI Images | Flowcharts | Tables | Diagrams | Maps and much more, Revise Instantly",KRITI SHARMA,₹499.00,91,"https://images-eu.ssl-images-amazon.com/images/I/81HJHwahJ8L._AC_UL900_SR900,600_.jpg"
45,The Satvic Revolution: 7 Life-Changing Habits to Discover Peak Health and Joy,Subah Saraf,₹310.00,"1,090","https://images-eu.ssl-images-amazon.com/images/I/61AWbc63g3L._AC_UL900_SR900,600_.jpg"
46,BlackBook of English Vocabulary May 2024 by Nikhil Gupta,Nikhil Gupta,₹329.00,922,"https://images-eu.ssl-images-amazon.com/images/I/71qOkEKthWL._AC_UL900_SR900,600_.jpg"
47,PW CBSE | Class 10 | 15 New Pattern Sample Question Papers Science For 2025 Board Exam with 50 Percent Competency Based Questions 100 Most Probable Questions,PW (Physics Wallah),₹209.00,56,"https://images-eu.ssl-images-amazon.com/images/I/61iB4bCRNwL._AC_UL900_SR900,600_.jpg"
48,101 Pencil Control Activity Book For Kids: Tracing Practise Book Age 2+,Wonder House Books,₹179.00,"1,191","https://images-eu.ssl-images-amazon.com/images/I/71WFiJ37+VL._AC_UL900_SR900,600_.jpg"
49,Metamorphosis,Franz Kafka,₹109.00,"12,440","https://images-eu.ssl-images-amazon.com/images/I/71qR+kG+43L._AC_UL900_SR900,600_.jpg"
